"","Journalnr.","Fisk nr.","År","Dato","Fangststed","Redskap","(mm)","Art","cm","g","K-faktor","Kjønn","Stadium","farge","Opphav","Merknad","otolitt","Alder","1.år","2.år","3.år","4.år","5.år","6.år","7.år","8.år","9.år","10 å","11år","12. år","13. år","14. år","NA","sodomi","sodomi","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"29",34454,29,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",17.4,55,1.04403472725257,"HANN",2,"H","VILL","OPPFØRT SOM: FF",3,3,4,8.5,13.5,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",34455,30,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",21.9,95,0.904463948495443,"HUNN",2,"LR","VILL",NA,4,4,4.5,9,13.5,18.5,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",34456,31,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",19.2,78,1.10202365451389,"HANN",2,"LR","VILL",NA,NA,4,3,8,13.5,16.5,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",34457,32,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",20.1,90,1.10829235422354,"HANN",2,"LR","VILL","OPPFØRT MED: STADIUM 5 ?",4,4,4,10.5,14.5,18,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",34458,33,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",20.8,100,1.11124544833864,"HANN",2,"H","VILL",NA,4,4,3.5,8.5,12.5,17,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34459,34,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",20.2,81,0.98272252477674,"HUNN",2,"LR","VILL",NA,NA,4,4.5,7.5,11.5,16.5,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",34460,35,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",20.2,88,1.06764916272041,"HANN",2,"LR","FF",NA,3,3,5.5,12,17,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",34461,36,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",25.4,155,0.94586803346835,"HUNN",2,"LR","VILL",NA,NA,4,4.5,11.5,17.5,22,25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",34462,37,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",20.8,84,0.933446176604461,"HANN",2,"LR","VILL",NA,NA,4,3,9.5,13.5,17.5,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",34463,38,2009,40052,"STÅVATN  ","BG",22.5,"ØRRET",20.9,89,0.974879972011087,"HUNN",2,"LR","VILL",NA,NA,4,3.5,10,14,17.5,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
